SnowflakeID,SystemName,ShortName,Unknown,GameFAQs,GameFAQs_URL,MobyGames,TheGamesDB,GiantBomb
ps4,Playstation 4,,,1071,ps4,,,
psp,Playstation Portable,PSP,,1024,psp,46,Sony PSP,18
pkmnmini,Pokemon Mini,,41008,,,,,
studio2,RCA Studio II,,17670,1045,studio2,,,
halyc,RDI Halycon,HALC,,,,,,107
redempt,Redemption,,,1019,redemption,,,
bsx,Satellaview,BS-X,21,21,snes,15,Super Nintendo (SNES),98
scd,Sega CD,SCD,36,1002,segacd,20,Sega CD,29
gg,Sega Game Gear,GG,25,16,gamegear,25,Sega Game Gear,5
gen,Sega Genesis,GEN,24,10,genesis,16,Sega Genesis,6
32x,Sega Genesis 32X CD,32X,43,1003,sega32x,21,Sega 32X,31
sms,Sega Master System,SMS,23,20,sms,26,Sega Master System,8
sat,Sega Saturn,SAT,26,8,saturn,23,Sega Saturn,42
sg1k,SG-1000,,,1017,sg1000,,,
x1,Sharp X1,X1,,1066,x1,,,113
x68k,Sharp X68000,X68K,,1032,x68000,,,95
zxspec,Sinclair ZX Spectrum,SPEC,17672,1050,sinclair,41,,16
vita,Sony Playstation Vita,VITA,,,vita,,Sony Playstation Vita,
sm5,Sord M5,,,1054,sordm5,,,
spectra,Spectravideo,,,,,85,,
scv,Super Cassette Vision,,,1057,scv,,,
snes,Super Nintendo Entertainment System,SNES,21,21,snes,15,Super Nintendo (SNES),9
svi,Supervision,,38798,1043,svision,,,
sym,Symbian,,,,,67,,
ti99,Texas Instruments TI-99/A4,TI99,39,1051,ti99,47,,48
trs80,TRS-80,TRS8,38,,,58,,63
trs80coco,TRS-80 CoCo,COCO,,1036,coco,62,,68
tgcd,TurboGrafx CD,TGCD,25724,1005,turbocd,45,,53
tg16,TurboGrafx-16,TG16,30,22,tg16,40,TurboGrafx 16,55
vsml,V.Smile,VSML,,,,42,,82
vect,Vectrex,VECT,44,49,vectrex,37,,76
vboy,Virtual Boy,VBOY,37,50,virtualboy,38,,79
wii,Wii,WII,49611,1031,wii,82,Nintendo Wii,36
wiiware,Wii Shop,WSHP,,1031,wii,,Nintendo Wii,87
wm,Windows Mobile,,,1014,windows-mobile,66,,
wp7,Windows Phone 7,WP7,73830,,,,,
ws,WonderSwan,WSC,24032,1022,wonderswan,48,,65
wsc,WonderSwan Color,WSC,31912,23,wsc,49,,54
xport,XaviXPORT,,46162,,,,,
xbox,Xbox,XBOX,26052,13,xbox,13,Microsoft Xbox,32
x360,Xbox 360,X360,47504,1029,xbox360,69,Microsoft Xbox 360,20
zeeb,Zeebo,,,1067,zeebo,88,,
zod,Zodiac,ZOD,44999,1027,zod,68,,64
